"price","no_rooms","no_bathrooms","area","neighborhood","municipality","type","cost_m2"
14000,1,3,80,"Girasoles Acueducto","Zapopan","House",175
8900,3,2,120,"San Agustín","Tlajomulco de Zúñiga","House",74.1666666666667
11700,3,2,80,"Fraccionamiento Valle Imperial","Zapopan","House",146.25
13500,3,2,120,"Hogares de Nuevo México","Zapopan","House",112.5
45000,2,3,168,"Parque Metropolitano","Zapopan","House",267.857142857143
50000,3,3,322,"Puerta de Hierro","Zapopan","House",155.27950310559
20000,3,2,69,"Jardines del Valle","Zapopan","House",289.855072463768
18500,3,2,140,"Fraccionamiento Del Pilar Residencial","Tlajomulco de Zúñiga","House",132.142857142857
30000,3,3,213,"Fraccionamiento Solares","Zapopan","House",140.845070422535
21000,3,2,157,"Fraccionamiento La Cima","Zapopan","House",133.757961783439
85000,3,3,400,"Puerta de Hierro","Zapopan","House",212.5
7500,3,1,70,"Vista Sur Residencial","Tlajomulco de Zúñiga","House",107.142857142857
14000,3,2,107,"San Agustín","Tlajomulco de Zúñiga","House",130.841121495327
22800,3,3,136,"Ciudad Bugambilia","Zapopan","House",167.647058823529
18000,3,3,105,"Los Robles","Zapopan","House",171.428571428571
8000,2,2,140,"El Campanario","Zapopan","House",57.1428571428571
14500,3,3,177,"Fraccionamiento Senderos de Monte Verde","Tlajomulco de Zúñiga","House",81.9209039548023
45000,4,4,224,"Jardines Universidad","Zapopan","House",200.892857142857
18000,3,2,102,"Fraccionamiento Valle de San Isidro","Zapopan","House",176.470588235294
22000,4,3,182,"Fraccionamiento Mirador de San Isidro","Zapopan","House",120.879120879121
8500,3,2,157,"Fraccionamiento Valle de las Flores","Tlajomulco de Zúñiga","House",54.140127388535
24000,4,2,310,"Fraccionamiento Jardines de Guadalupe","Zapopan","House",77.4193548387097
45000,3,2,400,"Villa Universitaria","Zapopan","House",112.5
13500,3,2,84,"Santa Ana Tepetitlán","Zapopan","House",160.714285714286
26000,4,4,152,"Punto Sur","Tlajomulco de Zúñiga","House",171.052631578947
35000,3,1,259,"Fraccionamiento Valle Imperial","Zapopan","House",135.135135135135
30000,3,3,134,"El TriAngulo","Zapopan","House",223.880597014925
43000,3,2,195,"Ciudad Granja","Zapopan","House",220.512820512821
55000,3,4,329,"Valle Real","Zapopan","House",167.173252279635
28500,4,4,165,"Bosques Vallarta","Zapopan","House",172.727272727273
54000,3,3,283,"San Wenceslao","Zapopan","House",190.812720848057
36500,4,4,230,"Fraccionamiento Jardín Real","Zapopan","House",158.695652173913
30000,3,3,200,NA,"Zapopan","House",150
60000,3,4,281,"Virreyes Residencial","Zapopan","House",213.523131672598
17000,3,2,115,"Fraccionamiento Valle Imperial","Zapopan","House",147.826086956522
38000,4,2,200,"Jardines de los Arcos","Guadalajara","House",190
7500,2,1,60,"Vista Sur Residencial","Tlajomulco de Zúñiga","House",125
49000,4,4,398,"San Wenceslao","Zapopan","House",123.115577889447
15000,2,1,58,NA,"Zapopan","House",258.620689655172
14000,3,2,65,"Fraccionamiento Guadalupe Inn","Zapopan","House",215.384615384615
16500,3,2,115,"San Agustín","Tlajomulco de Zúñiga","House",143.478260869565
14200,3,2,90,"Plaza Guadalupe","Zapopan","House",157.777777777778
15000,5,1,176,"La Perla","Guadalajara","House",85.2272727272727
25000,4,3,375,"Juan Manuel Vallarta","Zapopan","House",66.6666666666667
35000,3,2,289,"Vallarta Universidad","Zapopan","House",121.107266435986
30000,4,4,250,"Residencial Provenza","Tlajomulco de Zúñiga","House",120
50000,3,3,400,"Villa Universitaria","Zapopan","House",125
13500,3,2,220,"Marcelino Garcia Barragán","Zapopan","House",61.3636363636364
19000,4,2,357,"Bosques de Santa Anita","Tlajomulco de Zúñiga","House",53.2212885154062
55000,3,3,350,"Puerta de Hierro","Zapopan","House",157.142857142857
67000,3,3,333,"Lomas Del Bosque","Zapopan","House",201.201201201201
25000,5,3,170,"Jardines del Bosque Norte","Guadalajara","House",147.058823529412
18900,4,3,140,"Fraccionamiento Los Almendros","Zapopan","House",135
11400,2,1,88,"Plaza Guadalupe","Zapopan","House",129.545454545455
