Price,No_rooms,No_bathrooms,Area,Adress,Colony,Type
16300,3,2,148,Jardines Del Sur,Guadalajara,House
16000,3,2,140,Casa Fuerte,Tlajomulco de Zúñiga,House
69000,5,4,600,Valle Real,Zapopan,House
120000,3,3,551,Valle Real,Zapopan,House
8500,3,3,99,Fraccionamiento Parques de Tesistán,Zapopan,House
60000,4,4,615,San Agustín,Tlajomulco de Zúñiga,House
87000,5,2,430,Virreyes Residencial,Zapopan,House
17000,3,2,107,Fraccionamiento Jardines de Guadalupe,Zapopan,House
49500,6,5,258,Providencia,Guadalajara,House
19900,5,3,119,San Agustín,Tlajomulco de Zúñiga,House
11000,3,3,90,Nuevo México,Zapopan,House
54000,3,2,283,Villa Universitaria,Zapopan,House
14500,3,2,120,San Isidro,Zapopan,House
28000,3,2,190,Las Cañadas,Zapopan,House
11500,2,1,75,Hogares de Nuevo México,Zapopan,House
11000,1,,80,El Vigía,Zapopan,House
65000,3,4,296,Villa Universitaria,Zapopan,House
69000,4,5,700,Puerta de Hierro,Zapopan,House
25000,3,2,150,Fraccionamiento Residencial Victoria,Guadalajara,House
15000,4,2,120,Fraccionamiento Jardines de La Cruz,Guadalajara,House
24000,3,5,164,Jardines Del Sol,Zapopan,House
55000,3,4,594,Cielo Contry Club,Tlajomulco de Zúñiga,House
22000,2,2,92,Mezquitan,Guadalajara,House
25000,3,3,300,El Palomar,Tlajomulco de Zúñiga,House
70000,4,5,412,Valle Real,Zapopan,House
20000,3,2,227,Santa Ana Tepetitlán,Zapopan,House
17800,3,2,166,Fraccionamiento Valle Imperial,Zapopan,House
14000,3,4,83,Natura Bosque Residencial,Zapopan,House
45000,4,2,300,Condominio Atlas Colomos,Zapopan,House
10500,3,3,160,Fraccionamiento Cortijo de San Agustin,Tlajomulco de Zúñiga,House
60000,3,1,300,Providencia,Guadalajara,House
35000,3,2,300,Rancho o rancheria San Jose Del Tajo,Tlajomulco de Zúñiga,House
13000,1,4,219,El Fortín,Zapopan,House
49900,3,2,400,Cielo Contry Club,Tlajomulco de Zúñiga,House
9000,2,5,105,La Venta del Astillero,Zapopan,House
80000,5,,509,Villa Coral,Zapopan,House
